Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'POLITICAL SCIENCE' Selected Category Scheme: WoS,,,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Eigenfactor Score
148,MONTHLY REVIEW-AN INDEPENDENT SOCIALIST MAGAZINE,0027-0520,749,0.674,0.488,0.774,0.000730
149,STUDIES IN AMERICAN POLITICAL DEVELOPMENT,0898-588X,240,0.667,0.333,0.782,0.000340
150,International Politics,1384-5748,506,0.619,0.536,0.799,0.000670
151,DISSENT,0012-3846,304,0.615,0.615,0.455,0.000860
151,Independent Review,1086-1653,243,0.615,0.508,0.500,0.000230
153,CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,0008-4239,779,0.587,0.446,0.723,0.000520
154,EAST EUROPEAN POLITICS AND SOCIETIES,0888-3254,557,0.543,0.457,0.772,0.001000
155,SCOTTISH JOURNAL OF POLITICAL ECONOMY,0036-9292,744,0.540,0.500,0.608,0.000280
156,Historia y Politica,1575-0361,190,0.522,0.478,0.664,0.000110
157,Revista Brasileira de Politica Internacional,0034-7329,279,0.509,0.509,0.817,0.000250
158,Intelligence and National Security,0268-4527,544,0.481,0.233,Not Available,0.000490
159,Presidential Studies Quarterly,0360-4918,625,0.476,0.354,Not Available,0.000760
160,POLITY,0032-3497,633,0.474,0.456,0.609,0.000430
161,Forum-A Journal of Applied Research in Contemporary Politics,2194-6183,183,0.462,0.462,0.503,0.000610
162,EUROPEAN HISTORY QUARTERLY,0265-6914,199,0.459,0.432,0.515,0.000280
163,Journal of Policy History,0898-0306,196,0.451,0.431,0.477,0.000430
164,POLITISCHE VIERTELJAHRESSCHRIFT,0032-3470,263,0.443,0.343,0.345,0.000340
165,Politics Religion & Ideology,2156-7689,168,0.442,0.442,Not Available,0.000190
166,Historical Materialism-Research in Critical Marxist Theory,1465-4466,423,0.420,0.377,0.483,0.000550
167,AUSTRALIAN JOURNAL OF POLITICS AND HISTORY,0004-9522,260,0.400,0.300,0.331,0.000360
168,Japanese Journal of Political Science,1468-1099,164,0.359,0.313,0.467,0.000260
169,POLITICKA EKONOMIE,0032-3233,155,0.351,0.297,0.329,0.000090
170,Politix,0295-2319,320,0.344,0.281,0.417,0.000450
171,Austrian Journal of Political Science,2313-5433,20,0.300,0.233,0.297,0.000080
172,Ethics & Global Politics,1654-4951,127,0.263,0.211,0.708,0.000120
172,Romanian Journal of Political Science,1582-456X,34,0.263,0.263,0.196,0.000020
174,Journal of Cold War Studies,1520-3972,205,0.244,0.220,0.430,0.000510
175,Revista de Estudios Politicos,0048-7694,338,0.233,0.205,0.342,0.000290
176,CURRENT HISTORY,0011-3530,271,0.215,0.215,0.387,0.000460
177,Revista del CLAD Reforma y Democracia,1315-2378,96,0.213,0.213,0.314,0.000110
178,INTERNASJONAL POLITIKK,0020-577X,47,0.209,0.047,0.111,0.000040
179,Telos,0090-6514,79,0.175,0.175,0.175,0.000160
180,OSTEUROPA,0030-6428,149,0.149,0.066,0.174,0.000140
Copyright © 2020 Clarivate Analytics,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,
