Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'LAW' Selected Category Scheme: WoS,,,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Eigenfactor Score
80,International Insolvency Review,1180-0518,109,1.000,0.500,0.839,0.000090
80,Journal of International Criminal Justice,1478-1387,758,1.000,0.771,1.020,0.000710
80,UNIVERSITY OF TORONTO LAW JOURNAL,0042-0220,445,1.000,0.918,Not Available,0.000330
84,American Law and Economics Review,1465-7252,370,0.963,0.852,1.297,0.000890
85,JOURNAL OF LAW & ECONOMICS,0022-2186,"4,628",0.958,0.958,1.921,0.003550
86,JOURNAL OF LAW ECONOMICS & ORGANIZATION,8756-6222,"2,186",0.952,0.881,1.286,0.001680
87,JOURNAL OF WORLD TRADE,1011-6702,412,0.931,0.839,0.710,0.000560
88,LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,0897-6546,"1,062",0.929,0.838,1.203,0.001390
89,AMERICAN JOURNAL OF LAW & MEDICINE,0098-8588,295,0.925,0.925,0.991,0.000560
90,AMERICAN CRIMINAL LAW REVIEW,0164-0364,322,0.917,0.917,0.608,0.000530
91,FOOD AND DRUG LAW JOURNAL,1064-590X,237,0.905,0.810,0.750,0.000390
92,Journal of Corporate Law Studies,1473-5970,161,0.897,0.897,Not Available,0.000170
93,HASTINGS LAW JOURNAL,0017-8322,648,0.880,0.867,0.732,0.000740
94,International Journal of Law Policy and the Family,1360-9939,254,0.875,0.700,0.720,0.000190
95,Human Rights Law Review,1461-7781,521,0.867,0.733,Not Available,0.000480
96,INDUSTRIAL LAW JOURNAL,0305-9332,279,0.854,0.583,Not Available,0.000220
97,AMERICAN JOURNAL OF COMPARATIVE LAW,0002-919X,872,0.839,0.742,1.131,0.000540
98,LAW AND PHILOSOPHY,0167-5249,456,0.816,0.735,0.807,0.000550
99,INTERNATIONAL REVIEW OF LAW AND ECONOMICS,0144-8188,756,0.806,0.726,0.936,0.001230
100,JOURNAL OF LAW AND SOCIETY,0263-323X,858,0.781,0.726,1.068,0.000500
101,International Journal of Law Crime and Justice,1756-0616,237,0.773,0.680,0.919,0.000610
102,European Law Review,0307-5400,459,0.768,0.684,0.789,0.000540
103,WISCONSIN LAW REVIEW,0043-650X,813,0.717,0.696,1.213,0.000820
104,Current Legal Problems,0070-1998,313,0.708,0.708,1.313,0.000390
105,Anuario De Psicologia Juridica,1133-0740,85,0.696,0.565,Not Available,0.000100
105,NATURAL RESOURCES JOURNAL,0028-0739,419,0.696,0.696,0.768,0.000130
107,Law and History Review,0738-2480,408,0.690,0.621,0.778,0.000720
107,Netherlands Quarterly of Human Rights,0924-0519,150,0.690,0.517,0.775,0.000150
109,European Journal of Law and Economics,0929-1261,526,0.679,0.476,0.809,0.000560
110,LAW PROBABILITY & RISK,1470-8396,200,0.676,0.559,0.975,0.000240
110,MEDICINE SCIENCE AND THE LAW,0025-8024,672,0.676,0.632,0.763,0.000490
112,Asia Pacific Law Review,1019-2557,49,0.667,0.667,0.510,0.000070
112,International Journal of Marine and Coastal Law,0927-3522,177,0.667,0.500,0.612,0.000270
112,STANFORD JOURNAL OF INTERNATIONAL LAW,0731-5082,120,0.667,0.667,0.634,0.000110
115,Psychiatry Psychology and Law,1321-8719,641,0.664,0.607,0.809,0.000790
116,BUFFALO LAW REVIEW,0023-9356,338,0.649,0.649,0.633,0.000340
117,HARVARD JOURNAL OF LAW AND PUBLIC POLICY,0193-4872,521,0.635,0.519,0.753,0.000540
118,CORNELL INTERNATIONAL LAW JOURNAL,0010-8812,352,0.625,0.625,0.838,0.000380
119,ECOLOGY LAW QUARTERLY,0046-1121,328,0.622,0.600,0.540,0.000310
120,EUROPEAN JOURNAL OF MIGRATION AND LAW,1388-364X,295,0.611,0.528,0.920,0.000220
121,Legal Studies,0261-3875,326,0.597,0.552,0.725,0.000430
122,South African Journal on Human Rights,0258-7203,254,0.591,0.477,0.458,0.000150
123,ICSID Review-Foreign Investment Law Journal,0258-3690,230,0.576,0.525,Not Available,0.000460
124,Journal of Competition Law & Economics,1744-6414,301,0.565,0.565,0.671,0.000700
125,OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320,237,0.564,0.487,0.630,0.000230
126,COLUMBIA JOURNAL OF TRANSNATIONAL LAW,0010-1931,335,0.543,0.543,1.035,0.000380
127,AMERICAN BANKRUPTCY LAW JOURNAL,0027-9048,131,0.531,0.469,0.354,0.000160
128,Hong Kong Law Journal,0378-0600,186,0.500,0.244,0.368,0.000160
129,Queen Mary Journal of Intellectual Property,2045-9807,52,0.488,0.488,0.348,0.000160
130,JOURNAL OF LEGAL STUDIES,0047-2530,"1,690",0.486,0.486,1.836,0.001730
131,University of Pennsylvania Journal of International Law,1938-0283,121,0.452,0.452,0.692,0.000320
132,Review of Central and East European Law,0925-9880,78,0.433,0.367,0.635,0.000090
133,European Business Organization Law Review,1566-7529,155,0.431,0.414,0.443,0.000180
134,JOURNAL OF LEGAL MEDICINE,0194-7648,131,0.417,0.375,0.446,0.000070
135,Journal of International Dispute Settlement,2040-3593,199,0.403,0.299,Not Available,0.000620
136,COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS,0010-1923,104,0.400,0.400,0.416,0.000110
137,JOURNAL OF LEGAL EDUCATION,0022-2208,322,0.386,0.295,0.497,0.000280
138,Asian Journal of WTO & International Health Law and Policy,1819-5164,60,0.333,0.250,0.333,0.000080
138,Competition Policy International,1554-0189,78,0.333,0.333,0.274,0.000040
138,Denver Law Review,2469-6463,38,0.333,0.282,0.515,0.000160
141,JUSTICE SYSTEM JOURNAL,0098-261X,187,0.293,0.268,0.544,0.000260
142,JUVENILE AND FAMILY COURT JOURNAL,0161-7109,191,0.281,0.250,0.500,0.000090
143,Journal of African Law,0021-8553,204,0.268,0.244,0.379,0.000070
144,Tijdschrift voor Rechtsgeschiedenis-Revue d Histoire du Droit-The Legal History Review,0040-7585,77,0.206,0.176,0.163,0.000000
145,CATHOLIC UNIVERSITY LAW REVIEW,0008-8390,176,0.200,0.200,0.252,0.000160
146,International Review of the Red Cross,1816-3831,595,0.161,0.161,0.632,0.000510
147,Rutgers University Law Review,2374-3859,26,0.141,0.141,0.149,0.000150
148,LAW LIBRARY JOURNAL,0023-9283,126,0.140,0.116,0.250,0.000050
149,ISSUES IN LAW & MEDICINE,8756-8160,55,0.136,0.136,0.276,0.000090
150,JOURNAL OF THE COPYRIGHT SOCIETY OF THE USA,0886-3520,77,0.115,0.077,0.129,0.000040
151,Revista Chilena de Derecho,0718-3437,111,0.113,0.070,0.176,0.000030
152,UNIVERSITY OF CINCINNATI LAW REVIEW,0009-6881,307,0.103,0.103,0.256,0.000170
153,UNIVERSITY OF PITTSBURGH LAW REVIEW,0041-9915,212,0.054,0.054,0.280,0.000080
154,SECURITIES REGULATION LAW JOURNAL,0097-9554,16,0.051,0.051,0.040,0.000010
Copyright © 2020 Clarivate Analytics,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,
